opportunityID,name,description,location,category,communitySupportPercentage,opportunityStatus,requiredInvestmentBudget,expectedROI,startDate,endDate,buisnessModel,riskLevel
1,قطرات الجنوب,"مقهى يمتلكه شاب سعودي في منطقة أبها، يتميز بتقديم مشروبات القهوة المختصة والكوكتيلات الموسمية. المقهى يحظى بدعم مجتمعي جيد خاصة بين فئة الشباب والموظفين.",أبها,مقاهي ومشروبات,85%,نشط,"50,000 - 100,000 ريال",15% - 25%,7/2/2025,8/31/2025,Direct Sales,منخفض
2,عسل الجبال,"متجر متخصص في بيع منتجات العسل الطبيعي من مزارع محلية في منطقة النماص، يديره عدد من المزارعين المحليين ويُعد مصدر دخل أساسي لهم. يُعرف بجودة منتجاته ودعمه من المجتمع المحلي.",النماص,منتجات عسلية,100%,منتهي,"15,000 - 50,000 ريال",25% - 40%,3/2/2025,5/1/2025,B2C,متوسط
3,ذوق الجنوب,"مطعم شعبي يقدم أكلات عسيرية تقليدية في منطقة خميس مشيط، يُدار بعناية من قبل أسرة سعودية ويخدم السكان المحليين والسياح. يتميز بجلسات عائلية وتصميم داخلي تراثي.",خميس مشيط,مطاعم وأغذية,88%,منتهي,"100,000 - 300,000 ريال",15% - 25%,3/26/2025,5/25/2025,B2C,مرتفع
4,ثمار طريب,"مشروع زراعي لإنتاج الفواكه والخضروات العضوية في منطقة طريب، يعتمد على تقنيات ري حديثة وتُسوّق منتجاته للأسواق المحلية ومراكز البيع المباشر.",طريب,زراعة ومنتجات طبيعية,77%,منتهي,"50,000 - 100,000 ريال",25% - 40%,4/9/2025,6/8/2025,Marketplace,منخفض
5,لمسة تراث,"متجر إلكتروني لبيع منتجات يدوية وتراثية تصنعها نساء من منطقة رجال ألمع، يهدف إلى تمكين الحرفيات وتسويق منتجاتهن بشكل احترافي محلياً ودولياً.",رجال ألمع,حرف يدوية وتراثية,92%,منتهي,"15,000 - 50,000 ريال",40% - 60%,3/19/2025,5/18/2025,C2C,منخفض
6,رحلات الجنوب,"مشروع ناشئ في تثليث لتنظيم رحلات سياحية داخلية تشمل التخييم، التنقل في القرى الجبلية، وزيارة المواقع التراثية. يشهد إقبالاً متزايداً من العائلات والمهتمين بالطبيعة.",تثليث,سياحة وضيافة,81%,منتهي,"5,000 - 15,000 ريال",10% - 15%,4/9/2025,6/8/2025,Subscription,مرتفع
7,نقاء الجنوب,"مصنع محلي لإنتاج العصائر الطبيعية في منطقة محايل عسير، يستخدم فواكه محلية طازجة ويُوزع منتجاته على المتاجر الصغيرة والمقاهي.",محايل عسير,صناعات غذائية محلية,83%,نشط,"100,000 - 300,000 ريال",25% - 40%,6/7/2025,8/6/2025,B2B,مرتفع
8,أجرة النماص,خدمة نقل محلية في النماص تهدف لتوفير سيارات أجرة تعمل بالتطبيقات الذكية لتغطية القرى والمراكز البعيدة.,النماص,خدمات نقل وتوصيل,76%,منتهي,"15,000 - 50,000 ريال",10% - 15%,4/10/2025,6/9/2025,Commission,متوسط
9,جنى الطبيعة,"متجر في ظهران الجنوب لبيع أعشاب ومنتجات طبيعية طبية ومحلية المنشأ، يقدم استشارات بسيطة بالتعاون مع مختصين في الطب البديل.",ظهران الجنوب,زراعة ومنتجات طبيعية,89%,منتهي,"15,000 - 50,000 ريال",25% - 40%,4/2/2025,6/1/2025,B2C,مرتفع
10,بوكس القهوة,عربة متنقلة في أحد رفيدة تقدم مشروبات قهوة مختصة ومخبوزات محلية. تعمل في الفعاليات والمهرجانات بشكل أساسي.,أحد رفيدة,مقاهي ومشروبات,91%,منتهي,"أقل من 5,000 ريال",أكثر من 60%,3/25/2025,5/24/2025,Direct Sales,مرتفع
11,حلويات عسيرية,"مشروع منزلي في بلقرن لصناعة الحلويات الشعبية مثل العريكة والعصيدة، يوفر الطلبات عبر وسائل التواصل وتطبيقات التوصيل.",بلقرن,مطاعم وأغذية,87%,نشط,"5,000 - 15,000 ريال",15% - 25%,7/13/2025,9/11/2025,Freemium,مرتفع
12,مرسال الجنوب,"تطبيق في بارق يوفر خدمات التوصيل من المتاجر المحلية للأسر والمسنين في الأحياء الطرفية، بتركيز على الخدمة المجتمعية.",بارق,خدمات نقل وتوصيل,70%,منتهي,"50,000 - 100,000 ريال",25% - 40%,2/10/2025,4/11/2025,Subscription,مرتفع
13,ضيافة القرية,بيت ضيافة تراثي في سراة عبيدة يوفر إقامة محلية وتجربة طعام عسيري أصيل للسياح من داخل وخارج المملكة.,سراة عبيدة,سياحة وضيافة,95%,منتهي,"100,000 - 300,000 ريال",40% - 60%,3/5/2025,5/4/2025,Marketplace,مرتفع
14,شمع بلدي,منزلي لإنتاج شموع طبيعية ومعطرة في الحرجة بلمسات تراثية تستخدم الأعشاب الجبلية والزيوت العطرية.,الحرجة,حرف يدوية وتراثية,60%,نشط,"5,000 - 15,000 ريال",15% - 25%,6/7/2025,8/6/2025,C2C,منخفض
15,عسل الأمواه,"مبادرة شبابية في الأمواه لإنتاج وبيع عسل السدر الطبيعي، يتم جمعه من مناحل محلية وتعبئته بطرق صحية.",الأمواه,منتجات عسلية,84%,منتهي,"15,000 - 50,000 ريال",25% - 40%,5/6/2025,7/5/2025,B2C,مرتفع
16,خيرات تثليث,"مشروع تعاوني بين مزارعين في تثليث لتسويق محاصيل موسمية مثل الرمان والقمح، مع توفير منصة إلكترونية للطلب المسبق.",تثليث,زراعة ومنتجات طبيعية,58%,منتهي,"50,000 - 100,000 ريال",15% - 25%,4/3/2025,6/2/2025,Marketplace,مرتفع
17,مخبز الجنوب,"مخبز تقليدي في المجاردة يقدم خبز التنور والعريكة، يُدار من قبل عائلة ويخدم عدة قرى مجاورة.",المجاردة,مطاعم وأغذية,68%,منتهي,"15,000 - 50,000 ريال",15% - 25%,2/15/2025,4/16/2025,Direct Sales,منخفض
18,نقل بلا حدود,مشروع توصيل سريع بين بيشة وقرى الشمال باستخدام دراجات نارية للتغلب على الازدحام وصعوبات الطرق.,بيشة,خدمات نقل وتوصيل,44%,نشط,"15,000 - 50,000 ريال",10% - 15%,7/17/2025,9/15/2025,Commission,متوسط
19,بيت العسل والتمر,"محل صغير في تنومة يجمع بين بيع التمور الفاخرة والعسل المحلي، ويقدم منتجات موسمية بأسعار تنافسية.",تنومة,منتجات عسلية,88%,منتهي,"50,000 - 100,000 ريال",25% - 40%,4/10/2025,6/9/2025,B2C,متوسط
20,قهوة الجبل,"مشروع مقهى تراثي في البرك مطل على البحر، يقدم قهوة سعودية مع جلسات خارجية ومشروبات موسمية.",البرك,مقاهي ومشروبات,93%,نشط,"100,000 - 300,000 ريال",أكثر من 60%,7/2/2025,8/31/2025,B2C,مرتفع
21,متجر ثمار الجنوب,"متجر متخصص في بيع التمور العضوية من مزارع منطقة بيشة. يديره شاب سعودي يملك علاقات مباشرة مع المزارعين، ويعتمد على البيع بالتجزئة وعبر منصات إلكترونية.",بيشة,زراعة ومنتجات طبيعية,72%,نشط,"15,000 - 50,000 ريال",10% - 15%,7/1/2025,8/30/2025,B2C,متوسط
22,قهوة مزاج الجنوب,"مقهى صغير في خميس مشيط بتصميم عصري ولمسة محلية، يقدم مشروبات القهوة المختصة والحلويات المحلية. يمتلكه شابان سعوديان يسعيان للتوسع إلى فروع أخرى.",خميس مشيط,مقاهي ومشروبات,85%,منتهي,"50,000 - 100,000 ريال",15% - 25%,4/10/2025,6/9/2025,Direct Sales,منخفض
23,تطبيق وصلني,تطبيق محلي يربط أصحاب المركبات بالأهالي لنقل الأغراض من القرى إلى المدن بأسعار منافسة. يركز على منطقة النماص والمناطق الجبلية المجاورة.,النماص,خدمات نقل وتوصيل,63%,نشط,"100,000 - 300,000 ريال",25% - 40%,6/20/2025,8/19/2025,Commission,مرتفع
24,مصنع عسير للبهارات,مشروع لتحضير وخلط البهارات العسيرية الأصيلة باستخدام معدات حديثة مع الحفاظ على الوصفات التقليدية. يستهدف المطاعم والأسواق المحلية.,أحد رفيدة,صناعات غذائية محلية,78%,منتهي,"5,000 - 15,000 ريال",أكثر من 60%,3/15/2025,5/14/2025,B2B,متوسط
25,منتجات السدر الجبلي,"متجر لبيع العسل الطبيعي من قمم جبال عسير، مع توصيل لجميع أنحاء المملكة.",تنومة,زراعة ومنتجات طبيعية,67%,نشط,"15,000 - 50,000 ريال",10% - 15%,7/10/2025,9/8/2025,B2C,منخفض
26,جلسات واحة عسير,موقع تأجير جلسات خارجية ومخيمات عائلية في أحد المنتزهات الطبيعية الموسمية.,السودة,سياحة وضيافة,88%,منتهي,"50,000 - 100,000 ريال",30% - 50%,2/1/2025,4/1/2025,B2C,مرتفع
27,مقهى ظل الجبل,مقهى مميز يقع في منطقة النماص يتميز بإطلالة جبلية رائعة وأجواء تراثية سعودية.,النماص,مقاهي ومشروبات,78%,منتهي,"50,000 - 100,000 ريال",15% - 25%,5/15/2025,7/14/2025,B2C,متوسط
28,مناحل عسل الجنوب,"مشروع لإنتاج وبيع العسل الطبيعي من مناحل عسير، بإشراف مباشر من مربين محليين.",رجال ألمع,منتجات عسلية,40%,نشط,"15,000 - 50,000 ريال",25% - 40%,7/10/2025,9/8/2025,Direct Sales,متوسط
29,عربة قهوة متنقلة,مشروع شاب سعودي يعمل على تشغيل عربة قهوة متنقلة بالقرب من الجامعة المحلية.,خميس مشيط,مقاهي ومشروبات,38%,نشط,"أقل من 5,000 ريال",10% - 15%,6/1/2025,7/30/2025,B2C,مرتفع
30,ورشة الحرفي العسيري,متجر يقدم منتجات يدوية تراثية مثل الفخار والنقش العسيري للزوار والسياح.,أبها,حرف يدوية وتراثية,72%,منتهي,"15,000 - 50,000 ريال",10% - 15%,5/20/2025,7/19/2025,Marketplace,منخفض
